Hour,H,O,X,nn,ss,xx,total_frame,total_sec
20,0.126,0.326,0.08,0.78,0.405,0.678,4501,300.06
21,0.369,0.54,0.027,0.813,0.084,0.676,4491,299.39
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0
00,0.0,0.0,0.0,0.0,0.0,0.0,0,0
01,0.0,0.0,0.0,0.0,0.0,0.0,0,0
02,0.0,0.0,0.0,0.0,0.0,0.0,0,0
03,0.0,0.0,0.0,0.0,0.0,0.0,0,0
04,0.0,0.0,0.0,0.0,0.0,0.0,0,0
