,H,O,X,nn,ss,xx,total_frame
Detected / Total Frame,0.246973,0.432619,0.053883,0.7958,0.244417,0.676147,9001
On Mouse / Total Frame,0.090101,0.004444,0.005333,0.741473,0.005444,0.542051,9001
