Time,H,O,X,nn,ss,xx
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:00,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:01,0,0,0,2,1,2
20:55:02,0,0,0,2,1,2
20:55:02,0,0,0,2,1,2
20:55:02,0,0,0,2,1,2
20:55:02,0,0,0,2,1,2
20:55:02,0,0,0,2,1,2
20:55:02,0,0,0,2,1,2
20:55:02,0,0,0,2,1,2
20:55:02,0,0,1,2,0,2
20:55:02,0,0,1,2,0,2
20:55:02,0,0,0,2,0,2
20:55:02,0,0,0,2,0,2
20:55:02,0,0,1,2,0,2
20:55:02,0,0,1,2,0,2
20:55:02,0,0,1,2,0,2
20:55:02,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:03,0,0,1,2,0,2
20:55:04,0,0,1,2,0,2
20:55:04,0,0,1,2,0,2
20:55:04,0,0,1,2,0,2
20:55:04,0,0,1,2,0,2
20:55:04,0,0,1,2,0,2
20:55:04,0,0,1,2,0,2
20:55:04,0,0,1,2,0,2
20:55:04,0,0,1,2,0,2
20:55:04,0,0,1,2,0,2
20:55:04,0,0,1,2,0,2
20:55:04,0,0,1,2,0,2
20:55:04,0,0,1,2,0,2
20:55:04,0,0,1,2,0,2
