Hour,H,O,X,nn,ss,xx,total_frame,total_sec
20,0.023,0.004,0.004,0.702,0.0,0.556,4501,300.06
21,0.158,0.005,0.007,0.783,0.011,0.529,4491,299.39
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0
00,0.0,0.0,0.0,0.0,0.0,0.0,0,0
01,0.0,0.0,0.0,0.0,0.0,0.0,0,0
02,0.0,0.0,0.0,0.0,0.0,0.0,0,0
03,0.0,0.0,0.0,0.0,0.0,0.0,0,0
04,0.0,0.0,0.0,0.0,0.0,0.0,0,0
