exp_no,hour,F_alpha,F_beta,F_gamma,M_alpha,M_beta,M_gamma,total_F_alpha,total_F_beta,total_F_gamma,total_F_alpha_score,total_F_beta_score,total_F_gamma_score,total_F_alpha_hour_score,total_F_beta_hour_score,total_F_gamma_hour_score,total_M_alpha,total_M_beta,total_M_gamma,total_M_alpha_score,total_M_beta_score,total_M_gamma_score,total_M_alpha_hour_score,total_M_beta_hour_score,total_M_gamma_hour_score,total_F_alpha_sec,total_F_beta_sec,total_F_gamma_sec,total_M_alpha_sec,total_M_beta_sec,total_M_gamma_sec,video_sec,mouse_pixels
n7141,20,nn,O,X,xx,ss,H,nn,O,X,0.796597,0.394239,0.02847,0.780271,0.307487,0.046656,xx,H,ss,0.639457,0.24633,0.224422,0.628971,0.126194,0.404577,210.64,1.2,1.2,166.83,6.9,0,300.06,203222
n7141,21,nn,O,X,xx,H,ss,nn,O,X,0.796597,0.394239,0.02847,0.812959,0.481185,0.010243,xx,H,ss,0.639457,0.24633,0.224422,0.649967,0.366733,0.043866,234.42,1.5,2.1,158.38,47.3,3.29,299.39,196304
