time,area_pixels,centroid_x,centroid_y
20:59:51,199335,822.016249,569.699079
20:59:53,198292,821.166784,569.576165
20:59:55,199771,821.237612,570.3448
20:59:57,200046,828.698354,571.334763
20:59:59,196402,834.396305,571.138334
21:00:01,196304,834.036505,572.431621
21:00:03,198897,824.396311,574.211904
21:00:05,202505,824.112782,573.416118
21:00:07,196813,820.539009,569.572167
21:00:09,201370,823.707618,571.262745
21:00:11,200555,821.931685,570.559532
21:00:13,200098,822.805305,570.93908
21:00:15,201218,823.274742,571.538222
21:00:17,200324,821.566857,572.041558
21:00:19,200243,821.175132,571.550496
21:00:21,198665,818.772441,570.655334
21:00:23,199901,822.865804,571.43382
21:00:25,198635,822.02417,570.273784
21:00:27,200122,822.912558,571.595107
21:00:29,192990,812.712799,566.333499
21:00:31,193850,812.192396,567.093913
21:00:33,197847,817.531072,569.669391
21:00:35,196016,816.979277,568.08285
21:00:37,196042,816.035549,568.260108
21:00:39,195571,815.938104,567.411145
21:00:41,196843,817.130388,568.505672
21:00:43,196676,816.519763,568.450111
21:00:45,196886,817.600764,568.459362
21:00:47,196055,815.472612,568.040948
21:00:49,196180,816.027414,567.529514
21:00:51,195859,815.052262,567.86209
21:00:53,196725,816.270118,568.123294
21:00:55,199578,819.285623,570.171632
21:00:57,197044,827.26148,570.728101
21:00:59,199655,818.966828,571.384533
21:01:01,200570,821.890587,571.44222
21:01:03,198945,820.212144,570.434391
21:01:05,197674,818.776228,569.107622
21:01:07,197354,818.150851,568.69158
21:01:09,196698,818.040011,567.670902
21:01:11,197767,819.137859,568.523829
21:01:13,200591,820.838188,571.970288
21:01:15,196488,818.006031,572.607365
21:01:17,195645,827.094217,573.63376
21:01:19,203419,822.476686,572.72537
21:01:21,194138,822.058443,568.661251
21:01:23,198539,822.768066,571.049199
21:01:25,194447,838.699749,574.222158
21:01:27,195489,839.606172,569.288963
21:01:29,202488,824.845378,572.603981
21:01:31,199985,824.587074,574.202005
21:01:33,200505,823.845136,573.494048
21:01:35,201670,823.707844,573.264834
21:01:37,200984,824.151649,573.849665
21:01:39,185304,853.609766,570.602766
21:01:41,190588,842.534808,567.849691
21:01:43,195823,833.716045,568.625478
21:01:45,200262,826.773976,569.84372
21:01:47,198843,831.687075,571.752684
21:01:49,200622,819.471469,574.846308
21:01:51,200872,824.092945,572.249617
21:01:53,199426,820.959007,572.117527
21:01:55,194518,812.993219,572.129721
21:01:57,198457,821.602433,570.626196
21:01:59,194618,817.031534,567.86844
21:02:01,196443,818.838895,568.772193
21:02:03,200017,823.336141,570.94264
21:02:05,200472,824.195903,571.7036
21:02:07,199696,827.315029,571.21033
21:02:09,193339,825.619404,573.909222
21:02:11,194525,824.012291,576.375011
21:02:13,197758,822.570789,575.058541
21:02:15,200720,822.518065,574.386085
21:02:17,202995,823.906229,573.363561
21:02:19,201055,823.91752,572.576176
21:02:21,194514,818.504097,573.105386
21:02:23,195265,817.951707,577.822088
21:02:25,181746,853.7829,571.905561
21:02:27,200219,821.476423,573.0501
21:02:29,195709,824.542785,570.659684
21:02:31,192847,825.660798,566.993093
21:02:33,196819,819.152749,571.801625
21:02:35,201087,822.599855,572.292719
21:02:37,201379,821.340304,573.505122
21:02:39,200114,823.646082,572.438575
21:02:41,200767,823.422241,572.414152
21:02:43,199459,822.797547,573.243233
21:02:45,201000,823.115184,572.956219
21:02:47,199801,823.114744,573.617204
21:02:49,197731,823.694251,577.609227
21:02:51,195155,832.52899,575.625364
21:02:53,193896,835.539274,569.086861
21:02:55,190228,842.895457,567.302179
21:02:57,202373,821.925356,573.400464
21:02:59,201491,821.839908,573.014805
21:03:01,199066,824.089458,572.128872
21:03:03,201366,823.353262,573.009694
21:03:05,199166,823.332908,571.910924
21:03:07,195297,824.662734,570.705403
21:03:09,198075,822.615262,571.981754
21:03:11,198578,825.096818,575.833995
21:03:13,196719,829.976088,573.68086
21:03:15,199510,825.714992,570.938043
21:03:17,197666,828.270269,570.324816
21:03:19,199405,819.14295,574.969865
21:03:21,197403,819.088215,575.124365
21:03:23,192255,810.622907,576.912309
21:03:25,198919,818.141781,574.311695
21:03:27,201053,821.682268,573.899837
21:03:29,196065,812.511779,572.540663
21:03:31,202348,822.939713,573.321253
21:03:33,194910,812.394141,567.89881
21:03:35,193872,816.545391,566.771365
21:03:37,194090,816.681174,567.4203
21:03:39,196915,816.062575,568.851799
21:03:41,195906,814.444872,569.230085
21:03:43,192640,812.234173,571.961742
21:03:45,190576,822.614416,564.691399
21:03:47,185989,832.853588,562.299851
21:03:49,195501,816.657306,567.908711
21:03:51,192572,817.074866,566.787269
21:03:53,195935,815.136377,568.241396
21:03:55,186920,799.370314,567.203392
21:03:57,194933,813.885668,567.863794
21:03:59,191081,807.773415,566.784458
21:04:01,194325,813.255963,567.835929
21:04:03,192028,808.930682,569.256551
21:04:05,197278,817.326489,568.67998
21:04:07,197426,815.721607,569.273657
21:04:09,193469,820.970848,568.179646
21:04:11,194057,822.729914,569.188553
21:04:13,190179,820.562712,575.485853
21:04:15,198222,819.059655,570.185585
21:04:17,197611,818.40014,569.529652
21:04:19,195019,815.224352,567.381845
21:04:21,195150,816.140764,567.284258
21:04:23,191290,811.43261,564.862601
21:04:25,193827,814.118606,566.779324
21:04:27,196765,817.514466,568.992265
21:04:29,199355,819.529844,570.977161
21:04:31,194887,829.471412,569.437176
21:04:33,195643,824.660151,567.366458
21:04:35,204048,816.729765,574.825536
21:04:37,201827,821.620715,572.4915
21:04:39,186687,845.534826,568.905746
21:04:41,197054,827.532072,569.813021
21:04:43,204103,816.078367,574.854921
21:04:45,201140,821.195361,572.344934
21:04:47,200465,821.281446,571.773377
21:04:49,202369,823.475809,573.065474
21:04:51,201810,821.163723,572.837228
21:04:53,200439,822.060278,572.262529
21:04:55,199039,825.660765,570.859369
21:04:57,200063,822.089657,571.796479
