Experiment No.,hours,F. Rank 1,F. Rank 2,F. Rank 3,F. Score 1,F. Score 2,F. Score 3,M. Rank 1,M. Rank 2,M. Rank 3,M. Score 1,M. Score 2,M. Score 3
n7141,20,nn,O,X,0.780271,0.307487,0.046656,xx,ss,H,0.628971,0.404577,0.126194
n7141,21,nn,O,X,0.812959,0.481185,0.010243,xx,H,ss,0.649967,0.366733,0.043866
